ix,face,face_trials.thisRepN,face_trials.thisTrialN,face_trials.thisN,face_trials.thisIndex,instruct.started,instruct.stopped,cur_face.started,cur_face.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,end_text.started,end_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,stim/022324.png,0,0,0,5,9.018639625050128,None,14.110700182965957,None,q,1.5133413559524342,14.110700182965957,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
7,stim/022085.png,0,1,1,7,,,16.239092073054053,None,p,0.21843977901153266,16.239092073054053,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
8,stim/022721.png,0,2,2,8,,,17.05548821098637,None,p,0.21885385503992438,17.05548821098637,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
2,stim/022898.png,0,3,3,2,,,17.872893108054996,None,q,0.15406184003222734,17.872893108054996,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
6,stim/022495.png,0,4,4,6,,,18.608199038077146,None,q,0.2673184599261731,18.608199038077146,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
0,stim/022668.png,0,5,5,0,,,19.45587529207114,None,p,0.25167775398585945,19.45587529207114,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
3,stim/022318.png,0,6,6,3,,,20.323303477023728,None,q,0.25184839905705303,20.323303477023728,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
1,stim/022126.png,0,7,7,1,,,21.223170144017786,None,p,0.10164285590872169,21.223170144017786,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
4,stim/022442.png,0,8,8,4,,,21.95723038597498,None,q,0.2342722329776734,21.95723038597498,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
9,stim/022047.png,0,9,9,9,,,22.823102677008137,None,p,0.25150778505485505,22.823102677008137,None,,,103,001,2020_Mar_08_1635,face_cat,2020.1.1,59.94018830791058,
,,,,,,,,,,,,,,25.073033076012507,None,,,,,,,
