ix,face,face_trials.thisRepN,face_trials.thisTrialN,face_trials.thisN,face_trials.thisIndex,instruct.started,instruct.stopped,cur_face.started,cur_face.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,end_text.started,end_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,022000/022324.png,0,0,0,5,19.884639041032642,None,27.055380897014402,None,q,2.2768290309468284,27.055380897014402,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
4,022000/022442.png,0,1,1,4,,,29.95480103394948,None,p,1.2011589839821681,29.95480103394948,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
2,022000/022898.png,0,2,2,2,,,31.75466456601862,None,q,0.7153619610471651,31.75466456601862,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
8,022000/022721.png,0,3,3,8,,,33.072062745923176,None,q,0.7278124650474638,33.072062745923176,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
1,022000/022126.png,0,4,4,1,,,34.40541695896536,None,q,0.49053742992691696,34.40541695896536,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
0,022000/022668.png,0,5,5,0,,,35.50538134993985,None,p,0.4359521410660818,35.50538134993985,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
3,022000/022318.png,0,6,6,3,,,36.55519451003056,None,p,0.6592397290514782,36.55519451003056,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
7,022000/022085.png,0,7,7,7,,,37.8387232410023,None,p,0.6184536080108956,37.8387232410023,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
9,022000/022047.png,0,8,8,9,,,39.05543479393236,None,p,0.43761449900921434,39.05543479393236,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
6,022000/022495.png,0,9,9,6,,,40.08873021102045,None,p,0.7960227039875463,40.08873021102045,None,,,101,001,2020_Mar_08_1612,face_cat,2020.1.1,59.84356972400995,
,,,,,,,,,,,,,,42.88859098602552,None,,,,,,,
