block,presentation,shape1,shape2,shape3,span,is_set,train_test
0,llr,rsd,btf,gml,3,1,train
0,lrr,rsl,gmf,gtf,3,0,train
0,rlr,bsd,gsd,bsl,1,0,train
0,rrl,gmd,rmd,bmd,1,1,train
0,lrl,rmf,bsl,gtd,3,1,train
0,rll,rsl,rtl,rml,1,1,train
0,rrr,rsl,rsd,bsl,1,0,train
0,lll,bsd,gml,bsf,3,0,train
1,llr,bsd,gtl,rmf,3,1,test
1,llr,rmf,gsl,btd,3,1,test
1,lrl,rmf,btl,gmf,3,0,test
1,llr,bsf,gsf,rsf,1,1,test
1,rrr,bmf,bsf,btf,1,1,test
1,lll,gsl,rsl,gtl,1,0,test
1,rrr,gml,rtd,bsf,3,1,test
1,rrr,gmd,bmd,gmf,1,0,test
1,llr,bml,rsd,gtf,3,1,test
1,rrr,gsd,bsd,gtd,1,0,test
1,lll,rml,bsf,gtd,3,1,test
1,rrr,gsd,rmf,btl,3,1,test
1,llr,gtl,rsd,gsf,3,0,test
1,llr,gmf,rsl,gtf,3,0,test
1,lll,gml,rsf,btd,3,1,test
1,rrr,btl,gmd,btf,3,0,test
1,lll,bsf,gtl,rtf,3,0,test
1,lrl,rsf,rmf,rsd,1,0,test
1,lll,rsf,rsl,rtf,1,0,test
1,lrl,rsl,rsd,rsf,1,1,test
1,lrl,gml,rsd,btf,3,1,test
1,lrl,bsd,btd,btl,1,0,test
1,lll,bml,btl,bsl,1,1,test
1,lll,btl,gsd,rmf,3,1,test
1,rrr,bsf,btf,gsf,1,0,test
1,lll,rml,bsd,bmf,3,0,test
1,lll,gsl,gml,gtl,1,1,test
1,lrl,bsd,rtl,gsl,3,0,test
1,rrr,btl,bml,bsl,1,1,test
1,lrl,gml,gsl,gtl,1,1,test
1,lrl,bsf,rsf,bmf,1,0,test
1,llr,gsd,rsd,gsf,1,0,test
1,llr,bsd,gsd,gsl,1,0,test
1,llr,rtl,rtd,rtf,1,1,test
1,lrl,btf,gsl,rmd,3,1,test
1,lll,rtd,rtl,rmd,1,0,test
1,lll,rmd,rsd,rtd,1,1,test
1,rrr,gsl,rtf,bmd,3,1,test
1,lrl,bmf,rtd,gmf,3,0,test
1,rrr,bsl,rsl,gsl,1,1,test
1,lrl,rtf,bsl,gmd,3,1,test
1,lll,rsd,gmf,rtd,3,0,test
1,llr,btf,btl,btd,1,1,test
1,llr,gtf,bsl,rtf,3,0,test
1,llr,rtl,rtd,rml,1,0,test
1,rrr,bml,rsd,gml,3,0,test
1,rrr,bml,rtd,bmf,3,0,test
1,lrl,gmd,gtd,gsd,1,1,test
2,rlr,gmd,bsl,rtf,3,1,test
2,lll,gmf,bsl,rmf,3,0,test
2,lll,rtd,gtd,btd,1,1,test
2,rrr,bsf,rmd,gtl,3,1,test
2,rrr,rml,rsl,rtl,1,1,test
2,rlr,rsd,rtd,rtf,1,0,test
2,rrl,gsd,bmf,rtl,3,1,test
2,rlr,bmf,btf,bsf,1,1,test
2,rlr,rtd,btd,rtf,1,0,test
2,rlr,bsf,btf,bsd,1,0,test
2,rrl,rmd,gmd,rsd,1,0,test
2,rrl,rsl,bmd,bmf,3,0,test
2,lll,btl,rsf,gmd,3,1,test
2,lll,rml,rmd,rtd,1,0,test
2,lll,gmd,rtf,rsf,3,0,test
2,rrr,bsd,rmf,rtd,3,0,test
2,rrl,bmf,gmf,rmf,1,1,test
2,rrr,btl,btd,rtd,1,0,test
2,lll,gsf,rsf,rsl,1,0,test
