block,presentation,shape1,shape2,shape3,span,is_set,train_test
0,rrr,bsl,rmd,gtf,3,1,train
0,lrl,rtd,rtl,gtl,1,0,train
0,llr,bml,gsd,rtf,3,1,train
0,rrl,bmf,bmd,bml,1,1,train
0,lrr,rml,gtd,gtf,3,0,train
0,rlr,gsl,gsd,rsd,1,0,train
0,lll,gsl,bmd,rsd,3,0,train
0,rll,rsf,bsf,gsf,1,1,train
1,lll,rmf,bsl,gtd,3,1,test
1,lrl,rml,gsf,btd,3,1,test
1,llr,gsd,rmf,gtd,3,0,test
1,lll,btd,bsd,bsl,1,0,test
1,llr,rtf,rtd,gtd,1,0,test
1,lrl,bsd,gtf,rml,3,1,test
1,lll,gtd,rsf,bml,3,1,test
1,lll,rtl,rtd,rtf,1,1,test
1,lrl,rml,btd,gtd,3,0,test
1,lll,gsf,rsf,rtf,1,0,test
1,lrl,rmf,rml,rsf,1,0,test
1,rrr,rsd,gtl,gmd,3,0,test
1,llr,gtl,rsf,bmd,3,1,test
1,lrl,rsl,gsl,rsf,1,0,test
1,lll,rsl,bmf,gmf,3,0,test
1,lll,rmd,rmf,rml,1,1,test
1,lrl,bsf,gsf,gmf,1,0,test
1,llr,gtd,bmf,btl,3,0,test
1,llr,gmd,bsf,bml,3,0,test
1,rrr,bsd,btd,bmd,1,1,test
1,llr,rsl,bsl,rsf,1,0,test
1,llr,gsl,rsl,bsl,1,1,test
1,lll,rsd,gsd,bsd,1,1,test
1,lrl,gmf,btd,rtd,3,0,test
1,lrl,bmd,bmf,bml,1,1,test
1,rrr,btd,gmf,rsl,3,1,test
1,rrr,rmd,bsl,gtf,3,1,test
1,rrr,gtd,btd,rtd,1,1,test
1,rrr,bml,rml,btl,1,0,test
1,lrl,rml,gml,bml,1,1,test
1,rrr,gmd,bmd,gmf,1,0,test
1,llr,gtf,rsd,bml,3,1,test
1,lll,rsf,btd,gsf,3,0,test
1,rrr,rml,rsl,rmd,1,0,test
1,rrr,gtd,rsf,gsl,3,0,test
1,lll,rsl,gtf,bmd,3,1,test
1,llr,bmf,rmf,gmf,1,1,test
1,llr,btf,bsf,bmf,1,1,test
1,lrl,gmd,rmd,bmd,1,1,test
1,lll,rmd,rml,rtl,1,0,test
1,rrr,bsl,rtd,gmf,3,1,test
1,lrl,rtf,gml,bsd,3,1,test
1,llr,rtf,gmd,bsl,3,1,test
1,rrr,gsl,rtf,bsf,3,0,test
1,llr,gtf,gtd,rtd,1,0,test
1,lrl,rmf,bsl,rtl,3,0,test
1,rrr,gml,gtl,gsl,1,1,test
1,lll,bmf,rtl,bmd,3,0,test
2,rrr,rsd,rsf,rsl,1,1,test
2,rrr,rtl,gtl,btl,1,1,test
2,rrr,gtl,gml,gmd,1,0,test
2,rrr,bmd,rtf,rml,3,0,test
2,rrr,rsf,gml,btd,3,1,test
2,rlr,gtl,bsf,rmd,3,1,test
2,rrl,gtl,rmd,gtf,3,0,test
2,lll,rsd,bsd,rmd,1,0,test
2,rrl,bmd,bsd,btd,1,1,test
2,rrl,gmf,gtf,gsf,1,1,test
2,rlr,bmd,rsf,bsl,3,0,test
2,rrl,rtl,rsl,rtf,1,0,test
2,lll,rtd,rsd,rmd,1,1,test
2,rrl,gmd,btl,gmf,3,0,test
2,rlr,rsf,bsf,rsd,1,0,test
2,rrr,rtl,bsf,gmd,3,1,test
2,rrr,gmd,btf,rsl,3,1,test
2,rrr,gtd,bsf,rtd,3,0,test
2,rlr,rml,btd,rsl,3,0,test
2,lll,gsf,bml,rtd,3,1,test
