block,presentation,shape1,shape2,shape3,span,is_set,train_test
0,lll,rsd,gtl,bmf,3,1,train
0,lrr,gmd,bmd,gmf,1,0,train
0,rrl,bsl,rtd,gsd,3,0,train
0,rrr,rtf,btf,gtf,1,1,train
0,rll,bmd,gsf,btf,3,0,train
0,llr,gsf,bsf,bsl,1,0,train
0,rlr,rsd,gml,btf,3,1,train
0,lrl,gsf,gsl,gsd,1,1,train
1,rrr,btf,btd,btl,1,1,test
1,llr,bsd,bsf,gsf,1,0,test
1,rrr,rmd,rtd,rml,1,0,test
1,lrl,rmd,gsf,btl,3,1,test
1,lll,gsl,bmf,gmd,3,0,test
1,llr,rtd,gtd,btd,1,1,test
1,rrr,rsd,btf,rmd,3,0,test
1,lll,bmf,rmf,bsf,1,0,test
1,llr,gmf,btd,bml,3,0,test
1,rrr,gsl,gml,gtl,1,1,test
1,llr,gtf,rmd,bsl,3,1,test
1,lrl,gmf,btl,rsd,3,1,test
1,rrr,rsd,rmd,bsd,1,0,test
1,llr,gsf,bmd,rsd,3,0,test
1,llr,gml,bsf,rtd,3,1,test
1,rrr,gsd,rsd,gsf,1,0,test
1,llr,bsl,btl,rtl,1,0,test
1,lll,gsd,rmf,btl,3,1,test
1,rrr,gsd,rtf,bml,3,1,test
1,lll,rsd,gsd,gsf,1,0,test
1,lrl,gsf,gsd,gmf,1,0,test
1,rrr,rsl,gmd,btf,3,1,test
1,llr,rsl,btf,gmd,3,1,test
1,llr,rtd,rsd,rmd,1,1,test
1,rrr,bml,rsd,gtf,3,1,test
1,lrl,rtl,bsf,gmd,3,1,test
1,lrl,btd,rsf,bsl,3,0,test
1,llr,btl,rtl,rml,1,0,test
1,rrr,rsf,btl,rml,3,0,test
1,lrl,bsd,rsd,rmd,1,0,test
1,llr,gtl,gtf,gtd,1,1,test
1,lll,bmd,btd,bsd,1,1,test
1,lll,gsl,gsf,bsf,1,0,test
1,lll,gsf,rml,btd,3,1,test
1,lrl,btd,rsl,bsf,3,0,test
1,llr,gml,rsd,rtd,3,0,test
1,lrl,btf,bsf,bmf,1,1,test
1,lll,gsl,btd,rmf,3,1,test
1,lrl,rtf,gsl,gmf,3,0,test
1,lrl,bsf,gsf,rsf,1,1,test
1,lrl,rtl,rtd,rtf,1,1,test
1,lll,gsl,bmf,gsd,3,0,test
1,rrr,gmd,rsf,bmf,3,0,test
1,lll,gmf,bmf,rmf,1,1,test
1,rrr,rsf,gsf,bsf,1,1,test
1,lrl,rsf,rsd,rtd,1,0,test
1,lll,btl,rmd,rsd,3,0,test
1,lll,rsl,rtl,rml,1,1,test
2,rrl,rsf,btl,bsd,3,0,test
2,lll,gml,gsl,gtl,1,1,test
2,rrl,bsd,gtl,rmf,3,1,test
2,lll,gsd,bsd,rsd,1,1,test
2,lll,rsd,rsf,rmd,1,0,test
2,rrr,gtl,btl,rtl,1,1,test
2,rlr,bmd,gtf,rsl,3,1,test
2,rlr,gml,gmd,rml,1,0,test
2,rrr,bmd,rtl,gsf,3,1,test
2,rlr,bmf,bml,gmf,1,0,test
2,rlr,gsl,rtd,bsl,3,0,test
2,rrr,bsl,gmd,rtf,3,1,test
2,rrr,gmf,gml,gsl,1,0,test
2,rrl,rsf,rtf,rtd,1,0,test
2,rrr,btd,gml,btf,3,0,test
2,rrr,bml,bmd,rmd,1,0,test
2,lll,gmf,rtd,gsd,3,0,test
2,rrr,rsd,bml,btl,3,0,test
2,rrl,gtd,bsf,rml,3,1,test
2,lll,gsl,rmd,btf,3,1,test
2,rrr,bml,bmd,bmf,1,1,test
2,rrr,bmd,rsl,gtf,3,1,test
2,rrr,rsd,bsd,gsd,1,1,test
2,rrl,rsl,rsf,rml,1,0,test
2,lll,gsd,btl,rmf,3,1,test
2,rrr,gmf,rsd,rsl,3,0,test
2,rlr,rsf,rsd,rsl,1,1,test
