block,presentation,shape1,shape2,shape3,span,is_set,train_test
0,lll,gsf,bml,rml,3,0,train
0,lrr,btf,gtf,rtf,1,1,train
0,rll,gsf,rsf,gtf,1,0,train
0,rrl,bmf,rmf,btf,1,0,train
0,rrr,btl,rmf,gmf,3,0,train
0,lrl,gsf,btd,rml,3,1,train
0,llr,rsf,gtl,bmd,3,1,train
0,rlr,rmd,gmd,bmd,1,1,train
1,lll,bmd,bmf,bml,1,1,test
1,lrl,btd,btl,btf,1,1,test
1,llr,rsf,btd,rtl,3,0,test
1,lrl,bsf,rsf,rmf,1,0,test
1,llr,bml,bmd,btl,1,0,test
1,rrr,bsl,btl,gsl,1,0,test
1,llr,btd,bsd,bmd,1,1,test
1,lll,rmd,gtf,bsl,3,1,test
1,lll,rsf,rsd,gsf,1,0,test
1,llr,gsf,rmd,gsl,3,0,test
1,rrr,rtl,gsf,btf,3,0,test
1,lrl,gml,rsd,gsf,3,0,test
1,llr,bmf,btf,bsf,1,1,test
1,rrr,rsd,gml,bsd,3,0,test
1,llr,bsf,gtl,rmd,3,1,test
1,rrr,rtf,rsf,btf,1,0,test
1,llr,btl,gsd,rmf,3,1,test
1,lll,gtd,rmf,gml,3,0,test
1,lll,bsl,gsl,gml,1,0,test
1,rrr,btf,rml,gsd,3,1,test
1,lrl,btl,btf,btd,1,1,test
1,lll,bmf,bml,rmf,1,0,test
1,lrl,rsd,bsd,rsl,1,0,test
1,lrl,gtf,rsl,gtd,3,0,test
1,rrr,btf,gmd,rsl,3,1,test
1,lll,rtf,gmd,bmf,3,0,test
1,lll,rtf,rtl,rtd,1,1,test
1,lrl,rtl,bmd,gsf,3,1,test
1,rrr,gtl,rtl,btl,1,1,test
1,lll,btl,rmd,gtl,3,0,test
1,lrl,btl,rsd,gmf,3,1,test
1,llr,rsd,rtd,rmd,1,1,test
1,rrr,bsf,rtl,gmd,3,1,test
1,lll,gsl,gsf,gsd,1,1,test
1,lrl,gtf,bml,gsl,3,0,test
1,rrr,rml,rsl,rtl,1,1,test
1,lll,bml,rtd,gsf,3,1,test
1,llr,bsd,rtf,bmf,3,0,test
1,llr,gsl,bmd,rtf,3,1,test
1,rrr,gtl,bsf,rtf,3,0,test
1,lrl,bml,bmd,bmf,1,1,test
1,lrl,bmf,rmf,rtf,1,0,test
1,llr,rmd,rsd,bmd,1,0,test
1,rrr,gmd,gsd,gtd,1,1,test
1,llr,gml,gtl,rml,1,0,test
1,lrl,gmf,bsd,rtl,3,1,test
1,rrr,gsl,gsd,bsd,1,0,test
1,lll,bsl,gtd,rmf,3,1,test
2,rrl,gsd,rtf,bml,3,1,test
2,rrr,gsf,gsd,gsl,1,1,test
2,rlr,bsf,gmd,rtl,3,1,test
2,lll,gtl,gtd,gml,1,0,test
2,lll,gmf,bsd,gsl,3,0,test
2,rlr,gmf,gml,gmd,1,1,test
2,rlr,rsl,gtf,bmd,3,1,test
2,rrr,gsd,rml,btf,3,1,test
2,rrr,rsf,rmf,rtf,1,1,test
2,rrl,rml,bsd,gsd,3,0,test
2,rrr,bsf,bsl,bsd,1,1,test
2,lll,rsd,rmd,rsf,1,0,test
2,rrl,gtf,btf,btd,1,0,test
2,lll,gtl,gtf,gsf,1,0,test
2,rrr,gtl,rsd,bmf,3,1,test
2,rrl,rml,gsf,btd,3,1,test
2,rrl,bml,btl,rtl,1,0,test
2,rrl,rsl,rml,rsd,1,0,test
2,rrr,rsf,gml,bsl,3,0,test
2,rlr,rtd,btd,gtd,1,1,test
2,rrr,bml,rtd,btf,3,0,test
2,lll,rsd,btf,gml,3,1,test
2,rrl,rsl,rtl,rml,1,1,test
2,rrr,gsl,gml,gsf,1,0,test
2,lll,rtf,gsl,gmf,3,0,test
2,lll,rtl,gsf,bmd,3,1,test
2,rlr,gmd,btf,bsd,3,0,test
2,lll,bsd,rsd,gsd,1,1,test
2,lll,gsd,btf,rml,3,1,test
2,rlr,gml,gsl,rml,1,0,test
2,lll,gsd,gmd,gtd,1,1,test
2,rrl,rtf,gsd,gtl,3,0,test
2,rrl,rsd,bml,gtf,3,1,test
2,rrr,btl,bml,gtl,1,0,test
2,rlr,rsd,gtf,rtl,3,0,test
2,rrr,bsf,gsf,gtf,1,0,test
2,rrr,gtd,bsf,bsl,3,0,test
2,rlr,btf,bmf,bmd,1,0,test
2,lll,btf,bmf,bsf,1,1,test
2,rlr,rtl,btl,gtl,1,1,test
2,rlr,rsd,gtl,bmf,3,1,test
2,rrl,rml,bsf,gmf,3,0,test
2,lll,bml,rtf,bsf,3,0,test
2,rlr,gtf,rsd,btf,3,0,test
2,rlr,rsd,bsd,rmd,1,0,test
2,rrl,rtf,rmf,rsf,1,1,test
2,rrl,bsl,rsl,gsl,1,1,test
